Link,Company,About,Description,Employees,Homepage,Crunchbase,LinkedIn,Facebook,Twitter
https://climatescape.org//organizations/clean-energy-trust,Clean Energy Trust,"Clean Energy Trust provides catalytic capital and support to early-stage startups working on solutions for clean energy, decarbonization, and environmental sustainability.","Clean Energy Trust provides catalytic capital and support to early-stage startups in the Mid-Continent region of the United States working on solutions for clean energy, decarbonization, and environmental sustainability. Based in Chicago, Clean Energy Trust invests in and provides hands-on support to help entrepreneurs scale and succeed. To date, Clean Energy Trust has helped its 35 portfolio companies raise $26 for every $1 Clean Energy Trust has invested.",Impact-specific,https://www.cleanenergytrust.org/,https://www.crunchbase.com/organization/clean-energy-trust-2,https://www.linkedin.com/company/clean-energy-trust/,https://www.facebook.com/cleanenergytrust/,https://twitter.com/cleanenergytrst
https://climatescape.org//organizations/offsetra,Offsetra,Facilitating flows of climate finance across markets to create a more sustainable future,"We fund high-impact, certified carbon reduction projects. These projects need your support to do stuff like reforestation, forest protection, renewable energy installation, and more.",1-10,https://offsetra.com/,https://www.crunchbase.com/organization/offseta,https://www.linkedin.com/company/offsetra,https://www.facebook.com/offsetra,https://twitter.com/offsetra
https://climatescape.org//organizations/wren,Wren,Erase your carbon footprint • Wren helps you live carbon neutral by accounting for and offsetting your CO2 emissions.,Offset your carbon footprint through a monthly subscription.,1-10,https://projectwren.com,https://www.crunchbase.com/organization/wren-357d,https://www.linkedin.com/company/project-wren/,https://www.facebook.com/Project-Wren-1634651343331439/,https://twitter.com/project_wren
https://climatescape.org//organizations/terrado,Terra.do,The climate education and action platform,"Terra.do is a leading climate education and action platform to transition your career to climate. We've graduated hundreds of senior, accomplished professionals from global companies like Google, Bain & Co, Uber, etc. through 4- to 12-week intensive climate fellowships - covering the overall climate solutions landscape, and verticals such as green hydrogen, VC for climate, and more. Fellows are supported by a live-learning online platform, strong peer community engagement on Slack, and a hundreds-strong mentor and guest lecturer network of industry experts from organizations such as RMI and NextEra. We also host free climate jobs fairs and community events.",Impact-specific,http://www.terra.do,https://www.linkedin.com/school/terra-do,https://twitter.com/terradotdo,Нет данных,Нет данных
https://climatescape.org//organizations/breezometer,BreezoMeter,"The world's most accurate air quality data including Air Pollution, Pollen & Active Fires Information available by API.",The world's most accurate air quality data.,11-50,http://breezometer.com,https://www.crunchbase.com/organization/breezometer,https://www.linkedin.com/company/breezometer/,http://www.facebook.com/breezometer,https://twitter.com/BreezoMeter
https://climatescape.org//organizations/nori,Nori,"Nori is a carbon removal marketplace based in Seattle, Washington.","Help drive climate change into reverse by buying Nori carbon removals, and claim your certificate for carbon dioxide removed from the atmosphere.",1-10,https://nori.com/,https://www.crunchbase.com/organization/nori,https://www.linkedin.com/company/noridoteco/,https://www.facebook.com/noridoteco,https://twitter.com/nori
https://climatescape.org//organizations/pachama,Pachama,Restoring the forests to solve climate change.,"We partner with the most trusted project developers from around the world who are executing reforestation or forest conservation projects verified following strict protocols.
We develop machine learning algorithms that analyze satellite images of forests to provide accurate estimations of carbon storage and capture to provide additional verification.
We give you access to a monitoring dashboard to gain visibility on the progress of the projects ensuring accountability and transparency.",1-10,https://pachama.com/,https://www.crunchbase.com/organization/pachama,https://www.linkedin.com/company/pachama/,Нет данных,https://twitter.com/PachamaInc
https://climatescape.org//organizations/droneseed,Droneseed,We plant trees with heavy-lift drone swarms.,"Professionals know that nursery suppliers lack capacity to reforest after sizeable wildfires — especially repeat fires. That's why we've invented a proprietary seed vessel that boosts survival rates. Now there is a a go-to contingency plan to quickly restore thousands of acres of wildfire ravaged land starting in 30 days.
​
​We understand that forestry is complicated. Sometimes you need tree-planters, sometimes you need helicopters. DroneSeed is the sweet spot in-between. Keep the speed, boost the survival of seed, and do it affordably and at scale. We load thousands of seed vessels at a time into our FAA heavy-lift certified drone swarms, each aircraft planting 3/4 of an acre per flight, or 57lbs.

We're a team of silviculturists: nursery managers, foresters, ecologists, biologists, and engineers. We love the data, theory, and the hands-on work necessary to grow forests. We understand land owner objectives. We work with 3 of the 5 largest timber companies in the world and The Nature Conservancy. Our customers trust us on-site to do our work independently, safely, in compliance, and on time.",11-50,https://www.droneseed.com/,https://www.crunchbase.com/organization/droneseed,https://www.linkedin.com/company/droneseed,https://www.facebook.com/droneseed/,https://twitter.com/DroneSeed
https://climatescape.org//organizations/shifted-energy,Shifted Energy,Shifted Energy enable electric water heaters to consume excess renewable energy and provide grid services.,Нет данных,Private,http://shiftedenergy.com/,https://www.crunchbase.com/organization/shifted-energy,Нет данных,Нет данных,Нет данных
https://climatescape.org//organizations/cervest,Cervest,AI for climate intelligence ,"Cervest offers cloud-based Climate Intelligence (CI) to enable organizations to manage and adapt to climate risk at an asset-scale.  Its AI-powered platform delivers a standardized, science-based view of climate risk -- simultaneously analysing millions of global assets, across multiple time horizons and risk categories.  Cervest is a Certified B Corp.",51-200,http://www.cervest.earth,https://www.crunchbase.com/organization/cervest,https://www.linkedin.com/company/cervest/,Нет данных,https://twitter.com/CervestEarth
https://climatescape.org//organizations/cleanchoice-energy,CleanChoice Energy,"CleanChoice Energy is a clean energy supplier, with a mission to make clean energy accessible to all. Certified B Corp.",CleanChoice Energy is a 100% renewable energy company. Our Mission: Making clean energy accessible to all. Certified B Corp.,51-200,http://cleanchoiceenergy.com,https://www.crunchbase.com/organization/cleanchoice-energy,https://www.linkedin.com/company/cleanchoice-energy/,https://www.facebook.com/cleanchoiceenergy,https://twitter.com/CleanChoice
